id;word;art;mean;art_chosen;art_right;art_wrong;categ
559;baden;;to have a bath;;0;0;verbo
560;leiden;;to suffer;;0;0;verbo
561;Lied;das;song (es ist immer das alte Lied = it´s always the same old story (umg));;0;0;musica
562;Liederbuch;das;songbook;;0;0;musica
563;Leib;der;body;;0;0;corpo
564;während;;while;;0;0;adj/adv
565;wegen;;due to;;0;0;adj/adv
566;anstatt;;instead;;0;0;adj/adv
567;trotz;;in spite of, despite;;0;0;adj/adv
568;Stimmt!;;ok! Certo!;;0;0;expressao
569;Fortschritt;der;progress;;0;0;palavra
570;Jawohl!;;yes, yes sir;;0;0;expressao
571;Geburt;die;birth;;0;0;palavra
572;auswendig;;by heart;;0;0;adj/adv
573;zufrieden;;content, satisfied;;0;0;adj/adv
574;Krieg;der;war;;0;0;palavra
575;Asche;die;ashes, ash (Vulkan, Zigarette..);;0;0;natureza
576;still;;quiet, silent, calm;;0;0;adj/adv
577;schwärmen;;to swarm, to be crazy about sth (für jdn/etwas schwärmen);;0;0;verbo
578;Vorstadt;die;suburb;;0;0;cidade
579;verzeihen;;forgive;;0;0;verbo
580;gerade;;straight, just;;0;0;adj/adv
581;Strecke;die;route, road, track, section;;0;0;cidade
582;Stück;das;piece, part;;0;0;palavra
583;sondern;;Das Haus ist nicht groB, sondern klein (mas sim);;0;0;adj/adv
584;entfernen;;to remove;;0;0;verbo
585;Frühling;der;Spring;;0;0;natureza
586;Sachen;die;things;;0;0;palavra
587;genug;;enough;;0;0;adj/adv
588;Mittel;das;means (Transportmittel, Mittel um Wege finden = to find ways and means), medicine;;0;0;cidade
589;Bund;der;bond, alliance, association;;0;0;palavra
590;Bund;das;bundle, bunch;;0;0;palavra
591;Steg;der;footbridge, bridge;;0;0;cidade
592;Leinwand;die;canvas, screen;;0;0;casa
593;Lein;der;flax (semente de linhaça);;0;0;natureza
594;eingeben;;to give, to enter (dados em sistema);;0;0;verbo
595;Taste;die;key, button;;0;0;casa
596;hin und zurück;;round trip;;0;0;adj/adv
597;rauchen;;to smoke;;0;0;verbo
598;tödlich;;mortal;;0;0;verbo
599;Führung;die;guidance, direction, lead;;0;0;palavra
600;ausschalten;;to switch off, to eliminate;;0;0;verbo
601;Weihnachten;das;X-mas;;0;0;tempo
602;unserer;;ours;;0;0;adj/adv
603;uni;;plain, self-coloured;;0;0;adj/adv
